Codigo,Diam_Exterior,Diam_Interior,Largo,Materia_Prima,Aplicacion
AV 1001,41.2,47.17,10,503112,1
AV 1002,38.2,44.17,11,472812,2
AV 1003,44.1,53.18,11.5,543813,3
AV 1004,41,47.18,11.5,543813,4
AV 1011,35,42.07,6.5,433210,5
AV 1012,29,36,6.5,433210,6
AV 1035,21,27,6,433210,7
AV 1036,19.8,25,6,392610,8
AV 1047,37.2,44.1,7.1,392610,9
AV 1048,30.9,37.5,7.1,392610,10
AV 1049,34,42.17,8.3,311310,11
AV 1050,30,36.15,6.3,392910,12
AV 1105,41,48.25,6.3,543313,13
AV 4300,23,35,8,311310,14
AV 4310,35,52,10,392910,15
AV 4311,36,46,9,543313,16
AV 4312,33.5,43.5,9,321810,17
AV 4313,31,41,8,321810,18
AV 4314,27.5,38.5,8,321810,19
AV 4315,26,36.5,8,372610,20
AV 4316,24,33.5,8,624710,21
AV 4317,20,30.01,8,452912,22
AV 4318,45,65,12,463210,23
AV 4319,35,52.01,11,352309,24
AV 4320,26,40.01,9,54389.5,25
AV 4321,30,44.01,10,372610,26
AV 4322,33,48,10,624710,27
AV 4323,24,34.01,8,452912,28
AV 4324,40,56.01,11,463210,29
AV 4325,26,37,8,352309,30
AV 4326,33,47.01,8,54389.5,31
AV 4327,35,52,12,463210,32
AV 4328,40,55,10,503112,33
AV 4329,23,35.01,9,503112,34
AV 4330,30,45.01,10,503112,35
AV 4331,45,60,11,503112,36
AV 4332,33.3,39.8,4.5,472812,37
AV 4333,33.2,39.83,5.5,543813,38
AV 4334,30.9,38.5,8.5,543813,39
AV 4335,15,29,9,433210,40
AV 4336,37,50.2,9,433210,41
AV 4337,39,50.2,9,433210,42
AV 4338,35,54.01,11,392610,43
AV 4339,35,56.01,11,392610,44
AV 4340,21.5,27.08,8,392610,1
AV 4341,20.05,25.02,6.5,311310,2
AV 4342,27,35,7,392910,3
AV 4343,27,36,7,543313,4
AV 4344,35,43,7,311310,5
AV 4350B,18.5,25.2,9,392910,6
AV 4351B,19.5,28,8.5,543313,7
AV 4352B,21,29,9,321810,8
AV 4353B,25.5,31.9,9,321810,9
AV 4354B,23,34,9,321810,10
AV 4355,33.6,41.21,6.6,372610,11
AV 4356,45,60,8,624710,12
AV 4357,,,,452912,13
AV 8005,47.15,56.18,11.75,463210,14
AV 8006,42,49.18,11.5,352309,15
AV 8019,50.85,61.09,8,54389.5,16
AV 8020,43,51.09,8,372610,17
AV 8023,36.2,45.67,9.9,624710,18
AV 8024,31,40.17,9.75,452912,19
AV 8027,36.3,44.01,8,463210,20
AV 8028,29.6,37.01,7.5,352309,21
AV 8037,30.5,35.15,6,54389.5,22
AV 8038,25.5,31.5,6,463210,23
AV 8039,30.1,35.65,9.2,503112,24
AV 8040,25.3,30.65,6.2,503112,25
AV 8041,31.7,39.6,7,503112,26
AV 8042,30.1,35.2,6.2,503112,27
AV 8044,28,33.75,7,472812,28
AV 8049,38,44.16,6.2,543813,29
AV 8050,31,37.16,6.2,543813,30
AV 8051,38,44.5,7,433210,31
AV 8052,27,34,7,433210,32
AV 8053,36.9,45.07,8.3,433210,33
AV 8054,28,38.07,8.5,392610,34
AV 8055,40.3,51.3,7.2,392610,35
AV 8056,31.7,42.67,9.5,392610,36
AV 8059,35.5,43.65,10.4,311310,37
AV 8060,30.5,37.2,7,392910,38
AV 8061,52.4,63.6,12.7,543313,39
AV 8062,50.8,63.6,12.7,311310,40
AV 8063,57.95,65.79,15.88,392910,41
AV 8064,53.98,61.85,15.88,543313,42
AV 8069,45.97,54.07,11.12,321810,43
AV 8070,42.92,51.1,11.12,321810,44
AV 8071,47.23,54.61,7.42,321810,1
AV 8072,41.27,48.56,7.14,372610,2
AV 8073,39.68,46.02,9.27,624710,3
AV 8074,36.5,42.85,9.27,452912,4
AV 8081,25.2,32.03,6.33,463210,5
AV 8092,52,62,7.55,352309,6
AV 8093,43,52.98,7.55,54389.5,7
AV 8094,29,35.15,8.1,372610,8
AV 8095,27.7,33.15,8,624710,9
AV 8096,29,35,7.8,452912,10
AV 8097,27.5,33.1,7.3,463210,11
AV 8098,32.5,39.01,8.4,352309,12
AV 8099,27.3,33.55,8,54389.5,13
AV 8100,37,45.07,8.3,463210,14
AV 8101,39.3,47.12,8.5,503112,15
AV 8105,42,55,10,503112,16
AV 8106,39,49,10,503112,17
AV 8107,39.1,46.19,6.23,503112,18
AV 8108,39.2,46.19,7.5,472812,19
AV 8109,35.35,42.1,7.47,543813,20
AV 8116,40.9,47.2,5.3,543813,21
AV 8117,36,41.61,5.5,433210,22
AV 8119,47.5,56,7.4,433210,23
AV 8120,40.6,52.03,10.3,433210,24
AV 8123,51,61.12,9.4,392610,25
AV 8124,43.1,53.11,9.7,392610,26
AV 8159,33.6,40.15,6.25,392610,27
AV 8160,28.8,34.13,5.55,311310,28
AV 8162,30,36.08,7,392910,29
AV 8171,37,51.07,7.47,543313,30
AV 8172,31,40.07,7.47,311310,31
AV 8185,51.1,60.12,9.4,392910,32
AV 8189,34,42.08,8,543313,33
AV 8190,29,36.06,7,321810,34
AV 8194,37,51.07,7.47,321810,35
AV 8196,34.5,43.88,7.7,321810,36
AV 8198,47.7,56,7.75,372610,37
AV 8210,30,36.65,8.5,624710,38
AV 8211,27,32.65,9,452912,39
AV 8212,33,38.35,9.5,463210,40
AV 8213,35.6,40.15,9.5,352309,41
AV 8214,33.6,39.1,9.5,54389.5,42
AV 8215,29.5,35.1,9.5,372610,43
AV 8216,28,34.65,9.5,624710,44
AV 8217,26,32.1,9.5,452912,1
AV 8218,34.6,43.16,7,463210,2
AV 8219,33,39.09,7,352309,3
AV 8220,37,46.15,7.5,54389.5,4
AV 8221,31.1,39.15,7.5,463210,5
AV 8316,49,59.12,6.75,503112,6
AV 8317,45,56.6,9.5,503112,7
AV 8318,44.5,54.11,6.75,503112,8
AV 8319,40.1,51.11,9.5,503112,9
AV 8320,44.3,54.06,6.7,472812,10
AV 8321,40,49.06,11.5,543813,11
AV 8325,31.7,39.5,7,543813,12
AV 8326,26,33,7,433210,13
AV 8327,39,46,7,433210,14
AV 8328,31.7,39.5,7,433210,15
AV 8329,36.5,44,8,392610,16
AV 8330,29.7,38.7,7,392610,17
AV 8331,36.2,40.49,8,392610,18
AV 8332,30.8,38.09,8.4,311310,19
AV 8335,62.22,76.24,14,392910,20
AV 8336,54,62.03,8,543313,21
AV 8337,45,53.06,9.51,311310,22
AV 8338,42,50.03,6.14,392910,23
AV 8339,33.8,41.03,7,543313,24
AV 8340,52,58.55,4.08,321810,25
AV 8341,43,51.1,7.52,321810,26
AV 8342,39,48.1,6.5,321810,27
AV 8343,30,39.1,7.5,372610,28
AV 8344,33,41.1,7.5,624710,29
AV 8345,29,33.15,7.5,452912,30
AV 8346,37,43.65,6,463210,31
AV 8347,30,36.15,6,352309,32
AV 8348,31,40.2,6,54389.5,33
AV 8349,26.5,34.2,6,372610,34
AV 8350,42,52.1,7.7,624710,35
AV 8351,36.5,45.6,7.7,452912,36
AV 8352,50,61,10,463210,37
AV 8353,45,55,9,352309,38
AV 8354,49.3,55.35,7.4,54389.5,39
AV 8355,39,52,10.3,463210,40
AV 8356,37,44.7,10,503112,41
AV 8357,31,37.2,7,503112,42
AV 8358,27,32.7,7,503112,43
AV 8359,42.9,50.88,7.1,503112,44
AV 8360,38.6,46.02,5.7,472812,1
AV 8361,23.5,29.5,5.7,543813,2
AV 8362,29.3,36.66,6.37,543813,3
AV 8363,39.1,48.22,6.95,433210,4
AV 8364,43.1,51.19,8.15,433210,5
AV 8365,35,43.18,8.15,433210,6
AV 8366,44.83,55,7.62,392610,7
AV 8367,37.08,47,7.62,392610,8
AV 8368,44.83,55.56,7.62,392610,9
AV 8369,37.08,47.62,7.62,311310,10
AV 8370,36.25,43.08,7.45,392910,11
AV 8371,32.3,39.08,7.45,543313,12
AV 8372,43,50,6,311310,13
AV 8373,32.7,38.7,6.5,392910,14
AV 8374,27.5,34,6.5,543313,15
AV 8375,42,52.4,9.5,321810,16
AV 8376,35,43,9.5,321810,17
AV 8377,31,37.02,7.8,321810,18
AV 8378,26.9,33,7.5,372610,19
AV 8379,37,43,6,624710,20
AV 8380,44.7,52,8.7,452912,21
AV 8381,42.7,50.86,8.1,463210,22
AV 8382,20,26.6,6,352309,23
AV 8383,45,55.1,9,54389.5,24
AV 8384,33.7,39.9,6,372610,25
AV 8385,34,41.4,7,624710,26
AV 8386,35,42.2,8.5,452912,27
AV 8387,31,36.2,8.5,463210,28
AV 8388,25.5,31.6,6,352309,29
AV 8389,45,56.75,9.8,54389.5,30
AV 8390,49,59.12,6.75,463210,31
AV 8391,44.5,54.11,6.75,503112,32
AV 8392,40,49.05,9.5,503112,33
AV 8393,37.5,46.08,6.15,503112,34
AV 8394,34,44.07,8.9,503112,35
AV 8395,23,29.85,6.2,472812,36
AV 8396,24,30,6.5,543813,37
AV 8397,23,28.84,5.9,543813,38
AV 8398,29.4,35.3,8.2,433210,39
AV 8399,34,42.15,7,433210,40
AV 8400,28,34.15,7,433210,41
AV 8401,36.7,42.95,4.53,392610,42
AV 8402,39.6,46.9,7,392610,43
AV 8403,38,47.07,6.9,392610,44
AV 8404,34.5,43.73,6.72,311310,1
AV 8405,44.5,54,8.2,392910,2
AV 8406,40,47.18,5.85,543313,3
AV 8407,40.5,48.7,6,311310,4
AV 8408,33,39.6,6,392910,5
AV 8409,43,50.92,11.4,543313,6
AV 8410,39.5,47.74,11.41,321810,7
AV 8411,26,30.5,8,321810,8
AV 8412,24,29,8,321810,9
